Cpd_Id	Name	InChIKey	Smiles	DataSet	CpdClass	NP_Like	QED	NumHA	MW	NumRings	NumRingsArom	NumRingsAli	NumHDon	NumHAcc	LogP	TPSA	NumRotBd	NumAtOx	NumAtN	NumAtHal	NumAtBridgehead	FCsp3
CHEMBL1084738	CHEMBL1084738	DEEQMQGTBCCINJ-GOSISDBHSA-N	C[C@@H]1CN(C(=O)c2ccccc2)CCN1c1nnc(-c2ccc(C(F)(F)F)cc2)c2ccccc12	SmoAnta	SmoAnta	-1.37	0.383	35	476.18	5	4	1	0	5	5.67	49.33	3	1	4	3	0	0.222
CHEMBL4632769	CHEMBL4632769	BEZRNHWRVKFZJX-UHFFFAOYSA-N	Cc1cc(C)c(-c2ncc[nH]2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1	SmoAnta	SmoAnta	-1.73	0.483	30	398.17	4	4	0	2	6	4.92	79.9	6	2	4	0	0	0.125
CHEMBL4637222	CHEMBL4637222	SMQVBAGSZVHCJP-UHFFFAOYSA-N	Cc1cc(C)c(-c2cn(C)cn2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1	SmoAnta	SmoAnta	-1.67	0.488	31	412.19	4	4	0	1	6	4.93	69.04	6	2	4	0	0	0.16
CHEMBL2160078	CHEMBL2160078	KYWZXFGBEZZQSA-UHFFFAOYSA-N	Cc1ccc(NC(=O)c2ccc(N3CCOCC3)cc2)cc1-c1ncc(-c2ccccc2)[nH]1	SmoAnta	SmoAnta	-1.55	0.453	33	438.21	5	4	1	2	6	5.14	70.25	5	2	4	0	0	0.185
CHEMBL2160068	CHEMBL2160068	RJYGMRSLXRNCGZ-KDURUIRLSA-N	C[C@H]1CN(c2ccc3c(Nc4ccc(Cl)c(-c5ncc(-c6ccccc6)[nH]5)c4)nccc3n2)C[C@@H](C)O1	SmoAnta	SmoAnta	-1.42	0.274	37	510.19	6	5	1	2	7	6.7	78.96	5	1	6	1	0	0.207
CHEMBL1083915	CHEMBL1083915	QEYCCERKPBVVNO-HXUWFJFHSA-N	Cc1ccc(-c2nnc(N3CCN(C(=O)c4ccccc4)C[C@H]3C)c3ccccc23)cc1	SmoAnta	SmoAnta	-1.29	0.468	32	422.21	5	4	1	0	5	4.96	49.33	3	1	4	0	0	0.222
CHEMBL2160071	CHEMBL2160071	ISCMIYUTBPBNHO-BGYRXZFFSA-N	C[C@H]1CN(c2ccc3c(Nc4ccc(Cl)c(-c5ncc(-c6ccccc6)[nH]5)c4)ccnc3c2)C[C@@H](C)O1	SmoAnta	SmoAnta	-1.23	0.26	37	509.2	6	5	1	2	6	7.3	66.07	5	1	5	1	0	0.2
CHEMBL2160079	CHEMBL2160079	UAPTZRKLJGVDTE-UHFFFAOYSA-N	COc1cc(OC)cc(C(=O)Nc2ccc(C)c(-c3ncc(-c4ccccc4)[nH]3)c2)c1	SmoAnta	SmoAnta	-1.12	0.448	31	413.17	4	4	0	2	6	5.32	76.24	6	3	3	0	0	0.12
CHEMBL1209455	CHEMBL1209455	ASPCZWIUJMXPKZ-QGZVFWFLSA-N	C[C@@H]1CN(C(=O)c2ccccc2)CCN1c1nnc(-c2ccc(C(F)(F)F)cc2)c2ccncc12	SmoAnta	SmoAnta	-1.41	0.413	35	477.18	5	4	1	0	6	5.06	62.22	3	1	5	3	0	0.231
CHEMBL1086467	CHEMBL1086467	CHNHCRBXHMOZTQ-GOSISDBHSA-N	C[C@@H]1CN(C(=O)c2ccccc2)CCN1c1nnc(-c2ccc(Cl)cc2)c2ccccc12	SmoAnta	SmoAnta	-1.38	0.432	32	442.16	5	4	1	0	5	5.3	49.33	3	1	4	1	0	0.192
CHEMBL4288592	CHEMBL4288592	FSQIBYKXAXWJRM-UHFFFAOYSA-N	CN(C(=O)c1ccc(Oc2ccccc2)cc1C(F)(F)F)C1CCN(c2nnc(-c3ccnn3C)c3ccccc23)CC1	SmoAnta	SmoAnta	-1.44	0.224	43	586.23	6	5	1	0	8	6.58	76.38	6	2	6	3	0	0.25
CHEMBL497266	CHEMBL497266	WLZLUGVHAHGDCQ-UHFFFAOYSA-N	CC(C)(N)c1ccc(N2CCN(c3nnc(Cc4ccccc4)c4ccccc34)CC2)nc1	SmoAnta	SmoAnta	-1.2	0.505	33	438.25	5	4	1	2	6	4.14	71.17	5	0	6	0	0	0.296
