Cpd_Id	Name	InChIKey	Smiles	DataSet	CpdClass	ECFC4	ECFP6
CHEMBL1084738	CHEMBL1084738	DEEQMQGTBCCINJ-GOSISDBHSA-N	C[C@@H]1CN(C(=O)c2ccccc2)CCN1c1nnc(-c2ccc(C(F)(F)F)cc2)c2ccccc12	SmoAnta	SmoAnta	0.118	0.086
CHEMBL4632769	CHEMBL4632769	BEZRNHWRVKFZJX-UHFFFAOYSA-N	Cc1cc(C)c(-c2ncc[nH]2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1	SmoAnta	SmoAnta	0.143	0.103
CHEMBL4637222	CHEMBL4637222	SMQVBAGSZVHCJP-UHFFFAOYSA-N	Cc1cc(C)c(-c2cn(C)cn2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1	SmoAnta	SmoAnta	0.148	0.109
CHEMBL2160078	CHEMBL2160078	KYWZXFGBEZZQSA-UHFFFAOYSA-N	Cc1ccc(NC(=O)c2ccc(N3CCOCC3)cc2)cc1-c1ncc(-c2ccccc2)[nH]1	SmoAnta	SmoAnta	0.148	0.12
CHEMBL2160068	CHEMBL2160068	RJYGMRSLXRNCGZ-KDURUIRLSA-N	C[C@H]1CN(c2ccc3c(Nc4ccc(Cl)c(-c5ncc(-c6ccccc6)[nH]5)c4)nccc3n2)C[C@@H](C)O1	SmoAnta	SmoAnta	0.159	0.125
CHEMBL1083915	CHEMBL1083915	QEYCCERKPBVVNO-HXUWFJFHSA-N	Cc1ccc(-c2nnc(N3CCN(C(=O)c4ccccc4)C[C@H]3C)c3ccccc23)cc1	SmoAnta	SmoAnta	0.152	0.106
CHEMBL2160071	CHEMBL2160071	ISCMIYUTBPBNHO-BGYRXZFFSA-N	C[C@H]1CN(c2ccc3c(Nc4ccc(Cl)c(-c5ncc(-c6ccccc6)[nH]5)c4)ccnc3c2)C[C@@H](C)O1	SmoAnta	SmoAnta	0.166	0.117
CHEMBL2160079	CHEMBL2160079	UAPTZRKLJGVDTE-UHFFFAOYSA-N	COc1cc(OC)cc(C(=O)Nc2ccc(C)c(-c3ncc(-c4ccccc4)[nH]3)c2)c1	SmoAnta	SmoAnta	0.195	0.111
CHEMBL1209455	CHEMBL1209455	ASPCZWIUJMXPKZ-QGZVFWFLSA-N	C[C@@H]1CN(C(=O)c2ccccc2)CCN1c1nnc(-c2ccc(C(F)(F)F)cc2)c2ccncc12	SmoAnta	SmoAnta	0.118	0.082
CHEMBL1086467	CHEMBL1086467	CHNHCRBXHMOZTQ-GOSISDBHSA-N	C[C@@H]1CN(C(=O)c2ccccc2)CCN1c1nnc(-c2ccc(Cl)cc2)c2ccccc12	SmoAnta	SmoAnta	0.138	0.096
CHEMBL4288592	CHEMBL4288592	FSQIBYKXAXWJRM-UHFFFAOYSA-N	CN(C(=O)c1ccc(Oc2ccccc2)cc1C(F)(F)F)C1CCN(c2nnc(-c3ccnn3C)c3ccccc23)CC1	SmoAnta	SmoAnta	0.134	0.11
CHEMBL497266	CHEMBL497266	WLZLUGVHAHGDCQ-UHFFFAOYSA-N	CC(C)(N)c1ccc(N2CCN(c3nnc(Cc4ccccc4)c4ccccc34)CC2)nc1	SmoAnta	SmoAnta	0.114	0.073
CHEMBL538867	CHEMBL538867	HZLFFNCLTRVYJG-WWGOJCOQSA-N	CC1=C2C[C@H]3[C@@H](CC[C@@H]4C[C@H](NS(C)(=O)=O)CC[C@]34C)[C@@H]2CC[C@@]2(C1)O[C@@H]1C[C@H](C)CN[C@H]1[C@H]2C	SmoAnta	SmoAnta	0.127	0.112
CHEMBL2160067	CHEMBL2160067	BSQHKYLMKDAHEX-GOSISDBHSA-N	C[C@@H]1CN(c2ccc3c(Nc4ccc(Cl)c(-c5ncc(-c6ccccc6)[nH]5)c4)nccc3n2)CCO1	SmoAnta	SmoAnta	0.161	0.128
CHEMBL2160074	CHEMBL2160074	PCWHFHNXRARXTJ-LJQANCHMSA-N	C[C@@H]1CN(c2ccc3c(Nc4ccc(Cl)c(-c5ncc(-c6ccccc6)[nH]5)c4)nccc3c2)CCO1	SmoAnta	SmoAnta	0.168	0.121
CHEMBL1084835	CHEMBL1084835	YBTKSWFANAPRIN-LJQANCHMSA-N	C[C@@H]1CN(C(=O)c2ccccc2)CCN1c1nnc(-c2ccccc2)c2ccccc12	SmoAnta	SmoAnta	0.118	0.084
CHEMBL1084730	CHEMBL1084730	CBJPPBRKQOIGLI-HXUWFJFHSA-N	C[C@@H]1CN(C(=O)c2ccccc2)CCN1c1nnc(-c2ccc(C3CC3)cc2)c2ccccc12	SmoAnta	SmoAnta	0.126	0.078
CHEMBL2059865	CHEMBL2059865	KMSKKYBHDQYHMC-UHFFFAOYSA-N	Cc1ccc(-c2ncc[nH]2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1	SmoAnta	SmoAnta	0.115	0.095
CHEMBL2059863	CHEMBL2059863	BQZARCIQCQXWNH-UHFFFAOYSA-N	Cc1ccc(-c2ncc(C(F)(F)F)[nH]2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1	SmoAnta	SmoAnta	0.116	0.097
CHEMBL2142592	CHEMBL2142592	SZBGQDXLNMELTB-UHFFFAOYSA-N	CN(C(=O)c1ccc(F)cc1C(F)(F)F)C1CCN(c2nnc(-c3ccnn3C)c3ccccc23)CC1	SmoAnta	SmoAnta	0.135	0.095
CHEMBL2059864	CHEMBL2059864	GMVNSGUKXHWVSS-UHFFFAOYSA-N	Cc1cnc(-c2ccc(C)c(NC(=O)c3ccc(OCc4ccccn4)cc3)c2)[nH]1	SmoAnta	SmoAnta	0.128	0.086
CHEMBL2160077	CHEMBL2160077	JSYOFULTRNYMKK-UHFFFAOYSA-N	Clc1ccc(Nc2nccc3cc(N4CCOCC4)ccc23)cc1-c1ncc(-c2ccccc2)[nH]1	SmoAnta	SmoAnta	0.156	0.105
CHEMBL2160208	CHEMBL2160208	CHEGQSMAFNABCA-UHFFFAOYSA-N	O=C(NC1CCN(Cc2ccc(N3CCC(NC(=O)c4cccc(-c5cccnc5)c4)CC3)nc2)CC1)c1cccc(-c2cccnc2)c1	SmoAnta	SmoAnta	0.109	0.091
CHEMBL485870	CHEMBL485870	KSWYJUIFHPSZOL-UHFFFAOYSA-N	CC(C)(O)c1ccc(N2CCN(c3nnc(Cc4ccccc4)c4ccccc34)CC2)nc1	SmoAnta	SmoAnta	0.114	0.065
CHEMBL1084734	CHEMBL1084734	DRVZFOGEZROJQL-LJQANCHMSA-N	C[C@@H]1CN(C(=O)c2ccccc2)CCN1c1nnc(-c2ccc(CO)cc2)c2ccccc12	SmoAnta	SmoAnta	0.121	0.086
CHEMBL1209454	CHEMBL1209454	RPUBLKXADWXFEL-GOSISDBHSA-N	C[C@@H]1CN(C(=O)c2ccccc2)CCN1c1nnc(-c2ccccc2)c2ccncc12	SmoAnta	SmoAnta	0.118	0.08
CHEMBL4539839	CHEMBL4539839	KEXXCOSVBSDBQV-NSHDSACASA-N	C[C@H]1C(=O)N(c2ccc(Cl)cc2)C(=O)N1Cc1ccc(N=[N+]=[N-])cc1	SmoAnta	SmoAnta	0.152	0.145
CHEMBL516246	CHEMBL516246	UBHJFPVTEATUFS-UHFFFAOYSA-N	COc1cc(OC)cc(C(=O)Nc2ccc(Cl)c(-c3nc4cc(N(C)C)ccc4[nH]3)c2)c1	SmoAnta	SmoAnta	0.218	0.11
CHEMBL2160072	CHEMBL2160072	IQBYYYDDWFBIMZ-BGYRXZFFSA-N	C[C@H]1CN(c2ccc3c(Nc4ccc(Cl)c(-c5ncc(-c6ccccc6)[nH]5)c4)nccc3c2)C[C@@H](C)O1	SmoAnta	SmoAnta	0.166	0.117
CHEMBL1084736	CHEMBL1084736	BNHNNXHEHWISKR-LJQANCHMSA-N	C[C@@H]1CN(C(=O)c2ccccc2)CCN1c1nnc(-c2ccc(C#N)cc2)c2ccccc12	SmoAnta	SmoAnta	0.121	0.086
CHEMBL1083284	CHEMBL1083284	NOHJOTARDCVDLY-FQEVSTJZSA-N	Cc1ccc(-c2nnc(N3CCN(C(=O)c4ccccc4)[C@@H](C)C3)c3ccccc23)cc1	SmoAnta	SmoAnta	0.152	0.106
CHEMBL1209189	CHEMBL1209189	KBFRCAJUCXSIIS-LJQANCHMSA-N	CC(=O)Oc1ccc(-c2nnc(N3CCN(C(=O)c4ccccc4)C[C@H]3C)c3ccccc23)cc1	SmoAnta	SmoAnta	0.138	0.101
CHEMBL4278388	CHEMBL4278388	POXMVWPYGSOAKN-UHFFFAOYSA-N	CN(C(=O)c1ccc(F)cc1C(F)(F)F)C1CCN(c2ccc(-c3ccnn3C)c3ccccc23)CC1	SmoAnta	SmoAnta	0.142	0.11
CHEMBL1083914	CHEMBL1083914	WRGKWTCYKWEMBD-SFHVURJKSA-N	C[C@H]1CN(c2nnc(-c3ccc(C(F)(F)F)cc3)c3ccccc23)CCN1C(=O)c1ccccc1	SmoAnta	SmoAnta	0.118	0.086
CHEMBL474507	CHEMBL474507	LXROHYSWUUGKNY-DEOSSOPVSA-N	Cc1csc(CN[C@H]2Cc3ccc(NC(=O)c4cccc(C)c4-c4ccc(C(F)(F)F)cc4)cc3C2)n1	SmoAnta	SmoAnta	0.148	0.085
