Cpd_Id	Name	DataSet	CpdClass	Smiles	InChIKey	ECFC4	ECFP6
CHEMBL1084738	CHEMBL1084738	SmoAnta	SmoAnta	O=C(c1ccccc1)N1CCN(c2nnc(-c3ccccc3)c3ccccc23)CC1	OEZQQFDHMPRYIY-UHFFFAOYSA-N	0.237	0.115
CHEMBL4632769	CHEMBL4632769	SmoAnta	SmoAnta	O=C(Nc1cccc(-c2ncc[nH]2)c1)c1ccc(OCc2ccccn2)cc1	QLYUQQFPZGDCOK-UHFFFAOYSA-N	0.173	0.091
CHEMBL4637222	CHEMBL4637222	SmoAnta	SmoAnta	O=C(Nc1cccc(-c2c[nH]cn2)c1)c1ccc(OCc2ccccn2)cc1	GMZGJAZZPCOGEB-UHFFFAOYSA-N	0.173	0.089
CHEMBL2160078	CHEMBL2160078	SmoAnta	SmoAnta	O=C(Nc1cccc(-c2nc(-c3ccccc3)c[nH]2)c1)c1ccc(N2CCOCC2)cc1	RERDGFFOLSQUJE-UHFFFAOYSA-N	0.217	0.086
CHEMBL2160068	CHEMBL2160068	SmoAnta	SmoAnta	c1ccc(-c2c[nH]c(-c3cccc(N=c4[nH]ccc5nc(N6CCOCC6)ccc45)c3)n2)cc1	GTHJNYKIVITSMB-UHFFFAOYSA-N	0.199	0.073
CHEMBL2160071	CHEMBL2160071	SmoAnta	SmoAnta	c1ccc(-c2c[nH]c(-c3cccc(N=c4cc[nH]c5cc(N6CCOCC6)ccc45)c3)n2)cc1	RGDXASSTCDHBAA-UHFFFAOYSA-N	0.199	0.072
CHEMBL2160079	CHEMBL2160079	SmoAnta	SmoAnta	O=C(Nc1cccc(-c2nc(-c3ccccc3)c[nH]2)c1)c1ccccc1	NDSCLZHRZMAEOB-UHFFFAOYSA-N	0.22	0.079
CHEMBL1209455	CHEMBL1209455	SmoAnta	SmoAnta	O=C(c1ccccc1)N1CCN(c2nnc(-c3ccccc3)c3ccncc23)CC1	PZDVBGOXHBHTRS-UHFFFAOYSA-N	0.237	0.119
CHEMBL4288592	CHEMBL4288592	SmoAnta	SmoAnta	O=C(NC1CCN(c2nnc(-c3cc[nH]n3)c3ccccc23)CC1)c1ccc(Oc2ccccc2)cc1	RQKZZSNAWLLWRD-UHFFFAOYSA-N	0.204	0.094
CHEMBL497266	CHEMBL497266	SmoAnta	SmoAnta	c1ccc(Cc2nnc(N3CCN(c4ccccn4)CC3)c3ccccc23)cc1	FCTUWPXBMWNCFN-UHFFFAOYSA-N	0.231	0.079
CHEMBL538867	CHEMBL538867	SmoAnta	SmoAnta	C1=C2CC3C4CCCCC4CCC3C2CCC2(C1)CC1NCCCC1O2	LYTRMLIZOGOLNE-UHFFFAOYSA-N	0.079	0.069
CHEMBL2160074	CHEMBL2160074	SmoAnta	SmoAnta	c1ccc(-c2c[nH]c(-c3cccc(N=c4[nH]ccc5cc(N6CCOCC6)ccc45)c3)n2)cc1	LLGBUMLUVNFYRZ-UHFFFAOYSA-N	0.199	0.081
CHEMBL1084730	CHEMBL1084730	SmoAnta	SmoAnta	O=C(c1ccccc1)N1CCN(c2nnc(-c3ccc(C4CC4)cc3)c3ccccc23)CC1	QWOIXUPLFKJBKH-UHFFFAOYSA-N	0.232	0.103
CHEMBL2142592	CHEMBL2142592	SmoAnta	SmoAnta	O=C(NC1CCN(c2nnc(-c3cc[nH]n3)c3ccccc23)CC1)c1ccccc1	BDDCABCXMRQZQP-UHFFFAOYSA-N	0.237	0.103
